Idioms	Meaning	Hindi Meaning	Year
A bad patch	A period of time when a person faces lots of troubles	वह समयावधि जब व्यक्ति को बहुत सारी परेशानियों का सामना करना पड़ता है	2024
A bitter pill	Facing a distressing situation	एक कष्टदायक स्थिति का सामना करना	2024
A blessing in disguise	An apparent misfortune that eventually has good results	एक स्पष्ट दुर्भाग्य जिसका अंततः अच्छा परिणाम होता है	2024
A daredevil	A fearless person	एक निडर व्यक्ति	2024
A dime a dozen	Something common and not special	कुछ सामान्य और विशेष नहीं	2024
A rainy day	A time when money might unexpectedly be needed	ऐसा समय जब धन की अप्रत्याशित रूप से आवश्यकता पड़ सकती है	2024
A vicious cycle	A continuing unpleasant situation, created another problem that then makes the first problem worse	एक निरंतर अप्रिय स्थिति ने एक और समस्या पैदा कर दी जो पहली समस्या को और बदतर बना देती है	2024
Around the clock	Day and night	दिन और रात	2024
At a low ebb	In a depressed or weak state	उदास या कमज़ोर अवस्था में	2024
At her wits' end	So worried, confused or annoyed that she does not know what to do next	वह इतनी चिंतित, भ्रमित या परेशान है कि उसे समझ नहीं आ रहा कि आगे क्या करना है	2024
Beside the mark	Irrelevant	अप्रासंगिक	2024
Bite the bullet	To force yourself to do something unpleasant	अपने आप को कुछ अप्रिय करने के लिए मजबूर करना	2024
Break a leg	To wish good luck	शुभकामनाएँ देने के लिए	2024
Break the ice	To say or do something that makes people feel more relaxed, especially at the beginning of a meeting, party	ऐसा कुछ कहना या करना जिससे लोग अधिक सहज महसूस करें, विशेष रूप से किसी मीटिंग, पार्टी की शुरुआत में	2024
Call a space a space	Speak truthfully	सच बोलो	2024
Care a hang	Showing no interest	कोई रुचि नहीं दिखाना	2024
Come rain or shine	Under any circumstances	किसी भी परिस्थिति में	2024
Cook someone's goose	To interfere with, disrupt or ruin something for someone	किसी के लिए किसी चीज़ में हस्तक्षेप करना, बाधा डालना या बर्बाद करना	2024
Creature of habit	One who does same thing in the same way	जो एक ही काम एक ही तरीके से करता है	2024
Cut corners	Do something in an inexpensive and easy way	किसी काम को सस्ते और आसान तरीके से करें	2024
Easy does it	Used to tell someone to do something slowly and carefully	किसी को कुछ धीरे और सावधानी से करने के लिए कहने के लिए प्रयोग किया जाता है	2024
Fair weather friends	Friends in good times	अच्छे समय में दोस्त	2024
Fall flat	Had no effect on	पर कोई प्रभाव नहीं पड़ा	2024
Fish out of water	Uncomfortable	असुविधाजनक	2024
Five-finger discount	Steal from a shop	दुकान से चोरी करना	2024
Gift of the gab	A talent for speaking	बोलने की प्रतिभा	2024
Henpecked husbands	Oppressed husband	उत्पीड़ित पति	2024
High and dry	Helpless	असहाय	2024
Hit the nail on the head	They have accurately identified or explained something	उन्होंने किसी चीज़ की सटीक पहचान की है या उसे समझाया है	2024
Hit the roof	To become very angry	बहुत क्रोधित होना	2024
Jaundiced eye	Resentment	क्रोध	2024
Jump the gun	To do something too soon and too quickly	किसी काम को बहुत जल्दी और बहुत जल्दी करना	2024
Keep cards close to chest	Keep plans and thoughts hidden	योजनाओं और विचारों को छिपा कर रखें	2024
Left out in the cold	To be ignored	अनदेखा किया जाना	2024
Let the dust settle	To wait for a situation to become clear or certain	किसी स्थिति के स्पष्ट या निश्चित होने की प्रतीक्षा करना	2024
Made a scapegoat	Blamed for the mistakes of others	दूसरों की गलतियों के लिए दोषी ठहराया जाना	2024
maiden speech	first speech	पहला भाषण	2024
Make a beeline for	Going straight and quick	सीधे और तेज़ी से आगे बढ़ना	2024
Many ups and downs	Many good and bad times	कई अच्छे और बुरे समय	2024
Move heavens and earth	Tried very hard	बहुत कोशिश की	2024
Nobody's fool	Not easily deceived	आसानी से धोखा नहीं दिया जाता	2024
Off and on	Now and then // Periodically	अब और फिर // समय-समय पर	2024
Olive branch	Gesture of peace	शांति का संकेत	2024
On cloud nine	Being very delighted	बहुत प्रसन्न होना	2024
On the ball	Aware of any changes or developments and quick to react to them	किसी भी परिवर्तन या विकास के प्रति सजग और उन पर त्वरित प्रतिक्रिया देने वाला	2024
On the fence	Halting between two options	दो विकल्पों के बीच अटकना	2024
Once in a blue moon	Not very often	ज्यादा नहीं	2024
Pat on the back	Praise or approval for doing something good	कुछ अच्छा करने के लिए प्रशंसा या अनुमोदन	2024
Penelope's web	An endless task	एक अंतहीन कार्य	2024
Pull a long face	To look saddened	दुखी दिखना	2024
Pull our socks up	Work harder than before	पहले से अधिक कड़ी मेहनत करें	2024
Read between the lines	To understand more than what the words suggest	शब्दों से अधिक समझने के लिए	2024
Spill the beans	Tell others secret information	दूसरों को गुप्त जानकारी बताना	2024
Start from scratch	To start or create something from very beginning	किसी चीज़ को बिल्कुल शुरू से शुरू करना या बनाना	2024
Straight from the horse's mouth	Given by somebody who is directly involved and therefore likely to be accurate	किसी ऐसे व्यक्ति द्वारा दिया गया जो सीधे तौर पर इसमें शामिल है और इसलिए सटीक होने की संभावना है	2024
Straight shooter	A thoroughly upright straightforward person	एक पूरी तरह से ईमानदार और सीधा व्यक्ति	2024
Straighten up and fly right	Improve absurd behaviour and act seriously	बेतुके व्यवहार में सुधार करें और गंभीरता से कार्य करें	2024
The Lion's share	The major portion	प्रमुख भाग	2024
The tip of the iceberg	A small, noticeable part of a problem, the total size of which is really much grater	समस्या का एक छोटा, ध्यान देने योग्य हिस्सा, जिसका कुल आकार वास्तव में बहुत बड़ा है	2024
Through thick and thin	Under all conditions, no matter how challenging or difficult	सभी परिस्थितियों में, चाहे वह कितनी भी चुनौतीपूर्ण या कठिन क्यों न हो	2024
To bring to light	To disclose	खुलासा करने के लिए	2024
To have bigger fish to fry	To have bigger things to take care of then the menial task at hand	हाथ में मौजूद छोटे-मोटे कामों से ज़्यादा बड़ी चीज़ों का ध्यान रखना	2024
To keep the wolf away from the door	Avoid starvation	भुखमरी से बचें	2024
To turn a deaf ear	Disregarded	उपेक्षित	2024
Turned up one's nose	Treated her with contempt	उसके साथ अवमाननापूर्ण व्यवहार किया	2024
When life gives you lemons, make lemonade	Make the best out of difficult situations	कठिन परिस्थितियों से सर्वोत्तम लाभ उठाएँ	2024
Lily-livered	Not brave	बहादुर नहीं	2023
Tied herself up in knots	Become very confused when you are trying to explian something	जब आप किसी बात को समझाने की कोशिश कर रहे हों तो बहुत भ्रमित हो जाएँ	2023
To kick the bucket	To die	दम टूटना	2023
Miss the boat	Missing a good opprtunity	एक अच्छा अवसर खोना	2023
A hard nut to crack	A difficult problem	एक कठिन समस्या	2023
To bell the cat	To face risk	जोखिम का सामना करना	2023
Sharp practice	Dishonesty	बेईमानी	2023
A storm in a teacup	Made a big fuss about a small problem	एक छोटी सी समस्या को लेकर बहुत बड़ा बवाल मचा दिया	2023
Keep someone at arm's length	Avoid becoming friendly with someone	किसी के साथ मित्रतापूर्ण व्यवहार करने से बचें	2023
Rule the roost	To be in charge	प्रभारी होने के लिए	2023
Scrape the barrel	To be forced to use one's last and weakest resource	अपने अंतिम और सबसे कमजोर संसाधन का उपयोग करने के लिए मजबूर होना	2023
A dime a dozen	Very common and of no particular value	बहुत सामान्य और कोई विशेष मूल्य नहीं	2023
Beat about the bush	To avoid giving a definite answer or position	कोई निश्चित उत्तर या स्थिति देने से बचना	2023
To prime the pump	Encourage the growth or action of something	किसी चीज़ के विकास या कार्य को प्रोत्साहित करना	2023
Back against the wall	Be in a difficult situation from where escape is difficult	ऐसी कठिन परिस्थिति में होना जहाँ से बचना कठिन हो	2023
Walking on air	To feel extremely excited or happy	अत्यधिक उत्साहित या खुश महसूस करना	2023
Bad iron	Bad luck	खराब किस्मत	2023
By the skin of your teeth	Just barely	बस मुश्किल से	2023
Through thick and thin	In good times and in bad times	अच्छे समय में और बुरे समय में	2023
It turns out to be a blessing in disguise	Has a good effect even though at first it seemed it would be bad	इसका प्रभाव अच्छा है, हालांकि पहले ऐसा लग रहा था कि यह बुरा होगा	2023
To be in two minds	To be uncertain	अनिश्चित होना	2023
Falling foul of	Quarrelling with	झगड़ा करना	2023
Get into a scrape	Involved in a problem	किसी समस्या में शामिल	2023
Gift of the gab	Fluency of speech	भाषण की प्रवाहशीलता	2023
Blow something out of(all) proportion	Behave as if something that has happened is much worse then it really is	ऐसा व्यवहार करें जैसे जो कुछ हुआ है वह वास्तव में उससे कहीं अधिक बुरा है	2023
Blow your own trumpet	O tell everyone proudly about your achievements	हे अपनी उपलब्धियों के बारे में गर्व से सबको बताओ	2023
To go to the dogs	To become worse	बदतर बनना	2023
Up the creek	In trouble	मुसीबत में	2023
Go back to the drawing board	Start over	प्रारंभ करें	2023
On the ball	Doing a job in a quick and competent manner	किसी काम को शीघ्रता एवं कुशलता से करना	2023
Jumped the gun	To act too soon or before the right time	बहुत जल्दी या सही समय से पहले कार्य करना	2023
To face the music	To bear the negative consequences of wrongful actions	गलत कार्यों के नकारात्मक परिणाम भुगतना	2023
Stir up a hornets' nest	Provoke trouble	परेशानी भड़काना	2023
It is raining cats and dogs	It is raining very heavily	बहुत तेज़ बारिश हो रही है	2023
Taking a bull by the horns	To deal with a difficult situation in a very direct or confident way	किसी कठिन परिस्थिति से बहुत सीधे या आत्मविश्वास से निपटना	2023
Called it a day	Stopped working	काम करना बंद कर दिया	2023
Once in a blue moon	Very rare	केवल कभी कभी	2023
Under the cloud	The driver was under suspicion after the police found blood on his car	पुलिस को जब ड्राइवर की कार पर खून के निशान मिले तो वह संदेह के घेरे में आ गया।	2023
Bad blood	Angry feeling	गुस्सा महसूस करना	2023
A perfect storm	The worst possible situation	सबसे खराब संभावित स्थिति	2023
To cath a tartar	To deal with someone or something that proves unexpectedly or powerful	किसी ऐसे व्यक्ति या चीज़ से निपटना जो अप्रत्याशित रूप से या शक्तिशाली साबित हो	2023
As dead as a doornail	Completely obsolete	पूरी तरह से अप्रचलित	2023
Hit the jackpot	Gaining a big success	बड़ी सफलता प्राप्त करना	2023
Cut corners	To save money or time when doing something by not including some parts	किसी कार्य को करते समय कुछ भागों को शामिल न करके धन या समय बचाना	2023
True colours	True personality	सच्चा व्यक्तित्व	2023
Bolt from the blue	Occurred without a warning	बिना किसी चेतावनी के घटित हुआ	2023
Take it with a grain of salt	Not to take things seriously	चीजों को गंभीरता से न लेना	2023
Throw caution to the wind	Take risk	जोखिम लें	2023
Blessing in disguise	Something that appears to be a misfortune can have unexpected benefits	जो चीज़ दुर्भाग्य प्रतीत होती है, उससे अप्रत्याशित लाभ भी हो सकता है	2023
To weather the storm	To deal with a difficult situation without being harmed	किसी कठिन परिस्थिति से बिना नुकसान पहुंचाए निपटना	2023
Pass the buck	Blaming another person	किसी अन्य व्यक्ति को दोष देना	2023
Speaks his mind	To say what you think about something very directly	किसी चीज़ के बारे में आप जो सोचते हैं उसे बहुत सीधे तौर पर कहना	2023
Chewing the cud	Contemplating // to think slowly and carefully about something	चिंतन करना // किसी चीज़ के बारे में धीरे-धीरे और ध्यान से सोचना	2023
